project,date,author,aqua,condition,species,id,weight,temperature,salinity,statut,comment
mesocosm_monitoring,2019-02-21 10:00:00,jordan,B0,normal,s.hystrix,51,1.212,24.5,35.0,good,
mesocosm_monitoring,2019-02-21 10:00:00,jordan,B0,normal,s.hystrix,52,0.812,24.5,35.0,good,
mesocosm_monitoring,2019-02-21 10:00:00,jordan,B0,normal,s.hystrix,53,1.089,24.5,35.0,good,
mesocosm_monitoring,2019-02-21 10:00:00,jordan,B0,normal,s.hystrix,54,0.732,24.5,35.0,good,
mesocosm_monitoring,2019-02-21 10:00:00,jordan,B0,normal,s.hystrix,55,0.638,24.5,35.0,good,
mesocosm_monitoring,2019-02-21 10:00:00,jordan,B0,normal,s.hystrix,56,0.948,24.5,35.0,good,
mesocosm_monitoring,2019-02-21 10:00:00,jordan,B0,normal,s.hystrix,57,1.544,24.5,35.0,good,
mesocosm_monitoring,2019-02-21 10:00:00,jordan,B0,normal,s.hystrix,58,1.071,24.5,35.0,good,
mesocosm_monitoring,2019-02-21 10:00:00,jordan,B0,normal,s.hystrix,59,0.877,24.5,35.0,good,
mesocosm_monitoring,2019-02-21 10:00:00,jordan,B0,normal,s.hystrix,60,0.963,24.5,35.0,good,
mesocosm_monitoring,2019-02-21 10:00:00,jordan,B0,normal,s.hystrix,61,0.494,24.5,35.0,good,
mesocosm_monitoring,2019-02-21 10:00:00,jordan,B0,normal,s.hystrix,62,0.987,24.5,35.0,good,
mesocosm_monitoring,2019-02-21 10:00:00,jordan,B0,normal,s.hystrix,63,1.586,24.5,35.0,good,
mesocosm_monitoring,2019-02-21 10:00:00,jordan,B0,normal,s.hystrix,64,1.124,24.5,35.0,good,
mesocosm_monitoring,2019-02-21 10:00:00,jordan,B0,normal,s.hystrix,65,1.837,24.5,35.0,good,
mesocosm_monitoring,2019-02-21 10:00:00,jordan,B0,normal,s.hystrix,66,1.181,24.5,35.0,good,
mesocosm_monitoring,2019-02-21 10:00:00,jordan,B0,normal,s.hystrix,67,1.361,24.5,35.0,good,
mesocosm_monitoring,2019-02-21 10:00:00,jordan,B0,normal,s.hystrix,68,1.169,24.5,35.0,good,
mesocosm_monitoring,2019-02-21 10:00:00,jordan,B0,normal,s.hystrix,69,1.361,24.5,35.0,good,
